time in sec,v_x,v_y,v_z,w_x,w_y,w_z
1632492876,-0.465143622,0.04930442,-0.084934152,-0.282655234,0.147264681,-0.10716434
1632492876,-0.522456064,0.047682763,-0.010736798,-0.359474382,0.157902872,-0.153133349
1632492876,-0.571807743,0.046429617,0.017155715,-0.431032298,0.019804905,-0.188597529
1632492876,-0.670409064,0.066107343,-0.138510827,-0.436999151,0.138795373,-0.190829946
1632492876,-0.694591506,0.045509152,0.025412103,-0.568820751,0.096822827,-0.233970627
1632492876,-0.683500834,0.039483714,0.029821232,-0.499627957,0.021925763,-0.126636222
1632492876,-0.727605212,0.04954192,-0.045039382,-0.501457751,0.069055917,-0.187770133
1632492876,-0.723217889,0.042898071,-0.029861657,-0.51714083,0.161183882,-0.16076054
1632492876,-0.690042094,0.027756759,0.023980554,-0.610702695,-0.022979974,-0.140373304
1632492876,-0.666782318,0.046127634,-0.094511737,-0.645928166,0.104902981,-0.337676633
1632492876,-0.641641361,0.0080698,0.037512935,-0.663851828,0.142127227,-0.35550953
1632492876,-0.533444113,-0.008552017,0.073551773,-0.596226079,-0.199721372,-0.072418261
1632492876,-0.554963779,0.057324207,-0.17306068,-0.391646629,-0.111887891,-0.189587707
1632492876,-0.689143289,0.067796818,-0.210898058,-0.200918268,0.30316059,-0.151589144
1632492876,-0.671222952,-0.064873089,0.23133555,-0.229861751,0.08223178,-0.039768222
1632492876,-0.697337574,-0.042583608,0.15019734,-0.167983215,-0.22252925,-0.068070559
1632492876,-0.933316776,0.083912759,-0.262192036,-0.076412972,0.122875756,0.001449816
1632492876,-1.084476334,-0.00979074,0.018997574,-0.042630458,0.310382101,-0.100261206
1632492876,-1.206175651,-0.01418214,-0.002031085,0.071203647,0.192615379,-0.067895633
1632492876,-1.14649103,0.017726907,-0.125210367,0.102066098,0.318320643,-0.122305598
1632492876,-1.036456838,-0.020040355,-0.013314014,0.110642087,0.228733051,-0.018812475
1632492876,-0.859114516,-0.039934346,0.066309854,0.149108306,-0.091885839,0.045215064
1632492876,-0.688134407,-0.032563822,0.068251108,0.216430393,-0.2800386,0.14911634
