Sec,NanoSec,0-ref Sec,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z,w_x,w_y,w_z
1633451993,908047163,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,6936340,0.098889112,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,106210685,0.198163509,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,205340036,0.297292948,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,304125169,0.396077871,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,402862964,0.494815826,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,502752818,0.594705582,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,612277840,0.704230547,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,711542202,0.80349493,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,810260827,0.902213573,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451994,909763514,1.001716375,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,8260160,1.100213051,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,107101041,1.199053764,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,206316016,1.298268795,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,305724036,1.397676945,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,404576263,1.496529102,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,503868031,1.595820904,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,602019741,1.693972588,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,712537531,1.804490328,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,811586450,1.903539181,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451995,910118998,2.002071857,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,9548149,2.101500988,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,108753185,2.200706005,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,207070396,2.299023151,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,306090698,2.398043394,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,405061017,2.497013807,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,504607442,2.59656024,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,603135866,2.695088625,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,702010870,2.793963671,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,812432437,2.904385328,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451996,911372256,3.003324986,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,10524692,3.102477551,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,111937892,3.2038908,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,208451612,3.30040431,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,307578947,3.399531841,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,407570915,3.49952364,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,505242022,3.59719491,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,604025954,3.695978642,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,703753422,3.795706272,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,802112157,3.894064903,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451997,912300981,4.004253864,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,110300183,4.202252865,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,211542855,4.303495646,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,308193625,4.400146484,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,407151196,4.499104023,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,506732508,4.598685265,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,605733506,4.697686195,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,703912813,4.795865536,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,803274665,4.895227432,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451998,902917587,4.994870424,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,12521919,5.104474783,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,111413566,5.20336628,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,210829130,5.30278182,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,309295523,5.401248217,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,705647509,5.797600269,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,804197056,5.896149874,0,0,0,0,0,0,1,0,0,0,0,0,0
1633451999,902975459,5.99492836,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,2706060,6.094658852,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,112788065,6.204740763,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,310783946,6.402736664,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,409521540,6.50147438,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,508121821,6.60007453,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,805831906,6.89778471,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452000,904877277,6.996829987,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,2967952,7.094920635,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,213020010,7.304972887,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,311832054,7.403784752,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,410484432,7.502437115,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,509352959,7.601305723,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,608363248,7.700315952,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,707235250,7.799188137,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452001,905051459,7.997004271,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,4015867,8.095968723,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,312631464,8.404584169,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,510392255,8.60234499,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,609573535,8.701526403,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,708221749,8.800174475,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,807403627,8.899356365,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452002,906972619,8.998925447,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,6023205,9.097975969,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,104143803,9.196096659,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,203775902,9.295728683,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,303023101,9.394975901,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,412507387,9.504460096,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,511814226,9.603766918,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,610152177,9.702105045,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,709478155,9.801430941,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,808756277,9.900709152,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452003,907348450,9.999301195,0,0,0,0,0,0,1,0,0,0,0,0,0
1633452004,6129701,10.09808254,0,0,0,0,0,0,1,0,0,0,0,0,0
